name,category,min_players,max_players,description
Alibi,Card Game,2,5,"In each round, four suspect cards are placed face up on the table. Players attempt to &quot;prove&quot; which suspect is the real criminal by playing evidence cards - cards that match the clothing worn by the suspect. A suspect is confirmed as a criminal when five different evidence cards matching the suspect are played, or when the other three suspects have been eliminated by having alibi cards played on them. Players receive a bonus for playing evidence matching the one true criminal and receive bonuses for being the one to capture a criminal. The game ends when all suspects have been captured, and the winner is the player who has accumulated the most points.&#10;&#10;"
Am Fuß des Kilimandscharo,Racing,2,4,"Simple Knizia game for children. Progress up the trail to the foot of Kilimanjaro by playing numbered cards. You can play cards in front of yourself to make 3 piles, or onto your opponents to slow them down if they're ahead of you on the trail. The cards are in different types (colors), canoe, mule, jeep or by foot. If your 3 cards are the same type, you can move the total. If 2 cards match, you can move that total. If the 3 cards don't match, you can move the highest number.&#10;&#10;In addition, there are chance tokens laid on the trail face-down. These are revealed as you reach them; the banana is a meal-break (take another move), a lion is danger (fall back to the last village), or a swap tile lets you switch places on the trail with another player.&#10;&#10;The player that reaches the mountain first wins, but if the players exhaust their decks, then the furthest along the trail is the winner.&#10;&#10;"
Angkor,Territory Building,2,4,"In the jungles of southeast Asia, in Angkor, the players build huge temples and palaces. Unfortunately for the architects, the  jungle is a living thing, which grows all too well. and all too fast.&#10;&#10;Players have to get rid of these &quot;nature attacks&quot;, that are caused by  fellow game players, of course!&#10;&#10;"
Animal Upon Animal,Action / Dexterity,2,4,"The animals want to show how good they are at making tall pyramids!  They must be skillfully careful: Who will position the penguin on top of the crocodile, the sheep on top of the penguin, the serpent on the sheep?  The hedgehog wants to stand on top of the pyramid but the height is making him dizzy.&#10;&#10;Tier auf Tier (a.k.a. Animal Upon Animal, Pyramide d'animaux, and Dier op dier) is a simple stacking game, listed for ages 4-99, with 29 cute wooden animals.&#10;&#10;Each turn a player rolls the die and either places one or two animals on to the stack of animals, passes one of his or her animals to another player for them to place, or places an animal on the table, extending the base for other players to build upon. Of course, if any pieces fall off whilst you are building, you get up to two of them back. The first player to have used all of their animals wins.&#10;&#10;This game, intended for children, is equally popular with adults.&#10;&#10;"
Antike,Ancient,2,6,"From the publisher's website:&#10;Antike is a challenging strategy game about evolution and competition among ancient civilizations. Ancient nations create cities, build temples, sail the seas, and discover new principles of science and technology. Their legions and galleys open new settlements and defend their people against attacks from their enemies. Two scenarios can be chosen as the game board is two-sided. Players choose from Greeks, Romans, and Germanic tribes and Phoenicians, Carthaginians, Persians, Arabs, Egyptians, and Babylonians.&#10;&#10;Every nation tries to win ancient kings, scholars, generals, citizens, and navigators for themselves. The nation that acquires a specified number (depending on the number of players) of ancient personalities first will win the game!&#10;&#10;Lead one of these nations to victory! But watch out for your enemies, as they will want to conquer your cities to destroy your temples. The game depends not on the luck of dice or cards, but on thoughtful plans and skillful diplomacy.&#10;&#10;"
Apples to Apples,Card Game,4,10,"The party game Apples to Apples consists of two decks of cards: Things and Descriptions. Each round, the active player draws a Description card (which features an adjective like &quot;Hairy&quot; or &quot;Smarmy&quot;) from the deck, then the other players each secretly choose the Thing card in hand that best matches that description and plays it face-down on the table. The active player then reveals these cards and chooses the Thing card that, in his opinion, best matches the Description card, which he awards to whoever played that Thing card. This player becomes the new active player for the next round.&#10;&#10;Once a player has won a pre-determined number of Description cards, that player wins.&#10;&#10;"
Around the World in 80 Days,Novel-based,2,6,"Following in Jules Verne's footsteps, players attempt to travel around the world in 80 days on a map with Victorian-era decorations.&#10;&#10;On a player's turn, he chooses one of the face-up travel cards. Each card comes with an extra (getting to be first player in the next round, for example). Then he decides whether to travel to the next city. Does he want to wait until the next round in hopes of better cards, or will he make his journey now? If so, he must have and play the required travel cards. The two transportation types are trains and ships. For example, 2 ship cards are required to travel from Suez to Bombay, so 2 ship cards must be played; train cards won't help in this instance. Time is spent each step of the way in the form of days, and (while meeting certain other requirements) the winner is the player who spends the fewest number of days getting around the world. The number of days depends on the travel cards used, plus help from special cards, hindrance from the meandering detective, and so on.&#10;&#10;"
Attika,Ancient,2,4,"In ancient Greece&mdash;the cradle of European culture&mdash;Athens, Sparta, Corinth, and Thebes compete for dominance of the Greek peninsula and influence on the shrines.  Each player oversees the building of his city-state. Temple, theater and oracle, a harbor with ships, vineyard with vintner, and many more must find space on the Greek peninsula.&#10;&#10;Players must move fast to get the best land for themselves while blocking their opponents from good building spots. As building is expensive, players seek to save money by using the natural resources of the peninsula. Players also seek to organize their building in an order that allows building for free.  The game is won by being the first to connect two shrines or be the first to construct all 30 of your buildings.&#10;&#10;"
Australia,Aviation / Flight,2,5,"A board game for 2-5 players. Each player controls a group of Rangers, who are working on nature and industry projects in Australia during the 1920s. The game board shows 6 states, which are divided into 24 land or water regions. Every region contains a face down industrial counter and a face up nature counter. On the borders, you find bases (camps or ships), where the players place their Ranger pieces to score points. At the beginning, every player receives a number of Rangers, which he keeps on his own player board, a plane, and two cards. The back of a card shows how many Rangers you can place in a base and how many dollars you receive. The front of a card shows the region where this base should border on.&#10;&#10;The active player must perform two actions from the following three possibilities:&#10;1) A player may fly his plane to a region and turn up an industry counter (if available). &#10;2) A player may play a card to collect money and/or place Rangers in one base. Should this card have the same color as the region where his plane is, placement is free. Otherwise, a fee of $3 is collected from the player.&#10;3) A player may remove up to four Rangers from the game board back to his or her supply. &#10;Note: A special move is allowed to move any Ranger on the board for a cost of $4.&#10;&#10;You score points by completing nature or industrial projects. Nature projects are completed as soon as the last free base in this region contains at least 1 Ranger. The player who completes the project receives 3 bonus points. Every player with Rangers in a base in this region receives 1 point for every Ranger (2 points for Rangers on a ship base). Industrial projects are completed as soon as the industry counter is turned over and the surrounding bases contain the required number of Rangers. These projects also provide 3 bonus points and 1 point per Ranger (2 points for Rangers on a ship base). Points are registered on a scoring track. At the end of the game, each dollar is an extra victory point.&#10;&#10;The game ends when all card piles are exhausted and at least one player has played his last card. The players add their remaining dollars to their scores. The player with the most points wins the game.&#10;&#10;Note: the English rules for the basic game may have an errata. It says draw 9 cards to make stacks, when the non-English rules say draw 8 cards, and the Advanced English rules say draw 9 instead of 8 cards.&#10;&#10;Advanced rules&#10;&#10;A windmill is introduced. When an industry counter with a windmill symbol is turned over, the windmill moves to another region and will add 1 point to its value. Whenever a region is scored, the nature or industry counter is placed on a windmill track. When the windmill track is filled, a windmill scoring round takes place. To score at the windmill, players need to place Rangers on a special Ranger track (instead of placing them in a base, as they normally would do). The player with the most Rangers on the Ranger track receives the value of the windmill in victory points. The second place receives half, the third place receives half of the second place. After the windmill scoring round, the counters on the windmill are removed and the players have to take half of their Rangers on the Ranger track back. Several windmill scoring rounds are possible. At the end of the game, an extra windmill scoring round takes place.&#10;&#10;"
Authentic Demolition Derby,Card Game,2,4,"This is a simulation of a real demolition derby as it is done at your local fair grounds.&#10;&#10;The box contents are:&#10;A toy car for each player.&#10;Damage tracking sheets.&#10;Combat cards.&#10;Derby action cards.&#10;&#10;The car damage areas are divided into Engine, Tires, and Frame. Each area starts with 7 points. Cards are played indicating how the cars hit i.e. front-to-front rear-to-driver-side-tire, front-to-Passenger-side-door, etc. When the Tires or Engine are reduced to zero points your car is disabled and you are out of the game. When the Frame is reduced to zero any further hit there will do a point of damage to the Tires and the Engine.&#10;&#10;The toy cars track relative car positions on the playing field since these have an effect on what area of a particular car is available to be hit.&#10;&#10;"
Babel,Ancient,2,2,"In Babel, each player makes use of members of various tribes of the ancient world to build temples, exploit (or exterminated) their opponent's work force, destroy or steal their opponent's temples and otherwise do whatever it takes to build the tallest temples to win the game.&#10;&#10;The game plays out on a small game board representing regions of 5 ancient civilizations, Medes, Sumerians, Hitites, Persians, and Assyrians.  Each player will be dealt a hand of cards (consisting of 5 types corresponding to the above tribes).  Players themselves are represented by stone figures.  Temple cards will be made available at the side of the board for building throughout the game.  On his or her turn, a player may discard a card to move to the corresponding region, place a card on the region they are currently located, build a temple by having tribesmen equal to the number or level on the temple card AND having built the previous (lower) temple level, move tribesmen from one region to another, or perform a skill action unique to each tribe.  Players may perform any and all actions available to them, being able to perform most actions as many times as they wish and saving any number of unplayed cards for subsequent turns.&#10;&#10;A big component of this game is placing your tribe cards in sets. Skills can only be used if a set of three (or more) cards is at the same location as the player marker.  By discarding one of the cards of a set, the skill may be used.  No matter the tribe, performing this action can force the opponent to discard half their hand.  Other skills, such as robbing a temple from an opponent, skipping a level on a temple build, destroy an opposing temple, etc. are specific to the tribe activated.&#10;&#10;Game play progresses until one of two conditions is met: if a player builds 15 points (or levels) of temples before the opposing player builds at least 10 points, that player wins.  If the opponent [i]does have[/i] more than 10 points, the game continues until one player reaches 20 points (in which case he or she wins) OR one player subsequently drops below 10 (in which case he or she loses).&#10;&#10;"
Balanx,Abstract Strategy,2,2,"Balanx is a 2 player balancing game by Kris Burm. The game has a low plastic see-saw grid with spaced grooves. Players have 10 heavy glass marbles in black and white, the same as found in Abalone, and 2 small steel ball bearings.&#10;Players start with their marbles on the opposite side and corner of the grid and move them towards themselves forwards and sideways, but not diagonally. The trick is that before a player moves, they hold the balancing board down on their side, making the marbles roll along the grooves and changing the set up entirely. In addition, the steel balls run in side grooves, affecting the balance of the board and making the game very challenging.&#10;The winner is the first to get their balls across to their corner, but if any balls are left in the opponents corner to block a finish, you lose. &#10;Rules in English, French, Dutch and Swedish.&#10;&#10;Was awarded the title &quot;Best Abstract Strategy Game&quot; by Games Magazine in 1997.&#10;&#10;"
Balloon Cup,Aviation / Flight,2,2,"In Balloon Cup, the players compete in several short balloon flights (hops) to collect the colored cubes associated with each hop. Four landscape cards &ndash; two plains alternating with two mountains &ndash; are laid out, and 1, 2, 3, or 4 cubes in assorted colors (gray, blue, green, yellow, red) are added to these cards. From a hand of eight balloon cards, you must try to pass each landscape by adding cards matching the colored blocks onto their side of table, although winds (and cunning) may occasionally cause them to play on their opponent's side &ndash; a move that can really ruin the opponent's plans.&#10;&#10;High-valued balloons are played on the mountains, and low-valued balloons are played on the plains. Whoever is the better balloonist takes the cubes from the card, which is then flipped over &ndash; mountains becomes plains and vice-versa &ndash; and refilled with cubes. Five trophy cards of value 3 to 7 are placed at the top of the cards. When a player has collected enough cubes of a given color, he earns the trophy card for that color. Players may even trade three otherwise useless cubes for one they can use. The first player to earn three trophy cards is the winner!&#10;&#10;"
Bambuti,Card Game,2,2,"The Bambuti tribe has an annual competition where the villagers bring their most valuable family belongings--large, richly engraved wooden masks--which are constantly pushed back and forward among the participants until the sound of the jungle drums abruptly stops. Who has the most valuable mask?&#10;&#10;The players play mask cards with different values and colors in front of them trying to capture the opponent's most valuable masks and gain the most points when the game ends.&#10;&#10;"
Barbarossa,Deduction,3,6,"Barbarossa, in Italian &quot;red beard&quot; was, according to its inventor, inspired by the fantasy trilogy Die Schule der R&auml;tselmeister (School of the Riddle Masters), in which wizards are devoted to the creation of riddles and riddle solving tournaments. In an interview designer Klaus Teuber stated &quot;As you know there are moments when you close a book really sad that it's over. After finishing the last page, you often feel like you've lost a friend -- to be somewhat melodramatic. So I was looking for a way to keep the book alive a little longer. Creating a game seemed the perfect solution. In this game, I was looking for a way to make riddles, to experiment with shapes and to let the players express their own creativity with clay.&quot;&#10;&#10;The game starts with players using modeling clay to make objects that can be guessed by the other players. Players then take turns to move around the board either by rolling a die or spending gems to choose their move. The spaces landed on determine actions. Either the other players receive victory points, or you can ask a letter of an object (What's the fifth letter of that thing?), or you can ask general questions or make a single guess until you get a NO answer. Players also have three curse stones that they can throw down twice in the game and make a guess.&#10;&#10;You make a guess by writing the word down and passing it to the owner, who answers YES or NO. If you guess right, you stick an arrow in the object and score points (5pts if you're first, 3pts for second correct guess). In addition, and this matters, the object owner can either gain points or lose points, depending on the total arrows sticking at the time. So if you make your object too easy, or too hard, you lose points, but if you get it just right, you gain. Plus, at the game end, objects lacking arrows also lose their owners points.&#10;&#10;Your objects must each represent a single specific word, which you note down in secret. Trying to think of two or three things that people will guess, but not too easily, is really tricky and makes Barbarossa a fun game. Hopefully the new edition has a better rules set, as players might get puzzled by the variety of actions.&#10;&#10;A later-developed game with similarities to Barbarossa is Cluzzle.&#10;&#10;Re-published by Kosmos / Rio Grande 2001.&#10;&#10;Republished by Mayfair Games in 2005, in an edition for a maximum of 4 players in a smaller-sized box.&#10;&#10;"
Basari,Negotiation,3,4,"Several games use the simultaneous action selection mechanism, but this is perhaps one of the best.&#10;&#10;Basari is a game of gem merchants competing in a marketplace, racing, collecting, trading, and predicting what the other merchants will do.&#10;&#10;To start the game, players receive 12 gemstones (3 each of 4 colors). &#10;Each turn there will be a movement phase and an action phase:&#10;&#10;For movement, everyone simultaneously rolls their die and moves their markers around a track.&#10;&#10;They then choose one of three different actions to perform. The actions are:&#10;- to take a variety of gems from a market stall, &#10;- to immediately score from between 4 and 7 points, or &#10;- to roll and move again and also collect points.&#10;&#10;The action cards are revealed simultaneously. If only 1 player chose a particular action, they simply perform that action. If 2 players chose the same action, they barter back and forth with gemstones. One player will eventually accept the other's offer of gems, and the other will take the action. If 3 or 4 players all chose the same action card, that action is cancelled. Note that in 4-player games, there will always be a conflict in choice of 3 actions, so much more negotiating goes on.&#10;&#10;A new turn begins with everyone rolling their die, moving, then choosing and revealing their action cards. When any merchant piece completes a lap around the board, the round ends and bonus points are awarded based on who has the majority in each gem color and who has completed a lap. After three rounds, the game is over and the highest score wins.&#10;&#10;Re-implemented by:&#10;&#10;&#10;     Edel, Stein & Reich&#10;&#10;&#10;"
Batik,Abstract Strategy,2,2,"From Kris Burm, the designer of the GIPF series, A combination of Tetris and Bausack in which each player has a set of wooden pieces in various shapes. The playing area is formed from two sheets of parallel Plexiglas. Players take turns dropping pieces into the gap until a piece cannot be wholly inserted. The owner of that piece loses the round, and forfeits the offending piece. A new round begins, with the winner of the previous round playing first. Play continues until one player has no pieces when it is their turn to move; they lose the game.&#10;&#10;Batik Kid is essentially the same game, but instead of geometric shapes, the playing pieces are irregularly-shaped and represent sea creatures.&#10;&#10;"
Battle Cry,American Civil War,2,2,"A low complexity game of a variety of civil war battles.  Modular terrain through the use of hexagonal tiles allows for the setup of several famous civil war battle fields and a plethora of plastic civil war miniatures are used to represent the various forces during the conflict (infantry, cavalry, artillery and leaders).  Players manage a hand of cards that provide different orders to your troops in the right flank, left flank and center position of the battlefield.&#10;&#10;This game is the first to use what would evolve into Richard Borg's Command and Colors system.&#10;&#10;The game rules include the following scenarios:&#10;First Bull Run--21st July, 1861&#10;Pea Ridge--7th March, 1862&#10;Kernstown--23rd March, 1862&#10;Shiloh--6th April, 1862&#10;Gaines Mill--27th June, 1862&#10;Brawner's Farm--28th August, 1862&#10;Antietam--17th September, 1862&#10;Fredericksburg--13th December, 1862&#10;Murfreesboro--31st December, 1862&#10;Chancellorsville--3rd May, 1863&#10;Gettysburg--2nd July, 1863&#10;Gettysburg--3rd July, 1863&#10;Chickamauga--20th September, 1863&#10;New Market--15th May, 1864&#10;New Hope Church--25th May, 1864&#10;&#10;"
Battle Line,Ancient,2,2,"Two opponents face off across a 'battle line' and attempt to win the battle by taking 5 of 9 flags or 3 adjacent flags. Flags are decided by placing cards into 3 card poker-type hands on either side of the flag (similar to straight flush, 3 of a kind, straight, flush, etc). The side with the highest 'formation' of cards wins the flag.&#10;&#10;This is a rethemed version of Schotten-Totten with different graphics and wooden flag bits in place of the boundary stone cards.  Game play is identical, except the cards run from 1 to 10 (not 9), you hold seven cards in your hand (not 6), and the rule that stones may only be claimed at the start of your turn is presented as an &quot;advanced variant&quot;. Also the tactics cards were introduced by Battle Line; these cards were only added to later editions of Schotten-Totten.&#10;&#10;Some have reported that the production quality of the cards is inferior to the Schotten-Totten cards, however, for most readers Battle Line will be much easier to find in stores.  In the second edition of GMT's Battle Line the card quality is higher.&#10;&#10;"
Battleball,Miniatures,2,2,Global football has moved beyond the restrictive rules of the US Football League. Physical enhancements have made the sport more intense and more deadly. Players have developed distinctive skills to overpower enemy players. Some are fast. Some are strong. All are out to eliminate their opponents.&#10;&#10;Plan your strategy to get safely into the end zone. Your opponent will do everything he can to destroy your players and take possession of the ball. Can you overpower them and score a touchdown? Score two touchdowns and you'll be the Battleball champ!&#10;&#10;
Bayon,Adventure,2,4,"Players hire explorers who must be sent on expeditions. Each explorer has different abilities, and each expedition has different requirements (the more difficult the expedition, the higher the reward in gold). Often it is necessary to use more than one explorer for an expedition.&#10;The first player to win a certain amount of gold wins the game.&#10;&#10;"
Beowulf: The Legend,Adventure,2,5,"(not to be confused with Knizia's Beowulf: The Movie Board Game)&#10;&#10;From FFG Spring 2005 Catalog:&#10;&#10;The fascinating legend of the great hero Beowulf is told in one of the oldest works of English literature.  This game relives the legend of how the Geatish warrior Beowulf comes to the aid of the Danish King against the fearsome monster Grendel, how he returns to his home in Geatland to become King, and how Beowulf meets his end when fighting the terrible dragon.&#10;&#10;Beowulf the Legend, designed by renowned game designer Reiner Knizia, invites you to accompany the mighty hero as one of his brave comrades.  Will you become the most renowned warrior and succeed Beowulf as king?  Only the strongest will prevail!&#10;&#10;The game consists of a series of auctions depicting different events in the legend of Beowulf. Players &quot;bid&quot; in the auctions by offering up cards representing the skills they will offer to help Beowulf succeed (fighting, cunning, etc.) in an attempt to earn rewards of points or powerful cards, or to avoid injuries or other penalties. Players can also take a `Risk' and draw two cards from the deck to bid with. But if the cards don't match the current auction, the player is forced to drop out. Players need to carefully manage their hands and the timing of when they choose to take risks to increase their chances of winning.&#10;&#10;"
Betrayal at House on the Hill,Adventure,3,6,"From the press release:&#10;&#10;Betrayal at House on the Hill quickly builds suspense and excitement as players explore a haunted mansion of their own design, encountering spirits and frightening omens that foretell their fate. With an estimated one hour playing time, Betrayal at House on the Hill is ideal for parties, family gatherings or casual fun with friends.&#10;&#10;Betrayal at House on the Hill is a tile game that allows players to build their own haunted house room by room, tile by tile, creating a new thrilling game board every time. The game is designed for three to six people, each of whom plays one of six possible characters.&#10;&#10;Secretly, one of the characters betrays the rest of the party, and the innocent members of the party must defeat the traitor in their midst before it&rsquo;s too late! Betrayal at House on the Hill will appeal to any game player who enjoys a fun, suspenseful, and strategic game.&#10;&#10;Betrayal at House on the Hill includes detailed game pieces, including character cards, pre-painted plastic figures, and special tokens, all of which help create a spooky atmosphere and streamline game play.&#10;&#10;An updated reprint of Betrayal at House on the Hill was released on October 5, 2010.&#10;&#10;"
Big Kini,Civilization,2,4,"In this game, players explore a variable landscape to discover islands and try to gain influence and prestige. Influence is gained by taking over posts on the island which gives the player special abilities.&#10;&#10;Expanded by Big Kini Expansion: 5-6 Players and Action Cards&#10;&#10;"
Blink,Action / Dexterity,2,3,"The two-minute-long, two-player card game Blink bills itself as the fastest game in the world. Without taking turns, players race to empty their hands by matching the color, shape, or number of symbols on their cards in hand to the top card of the two discard piles in the center of the table. As soon as a player lays down one card, they can draw another, up to the hand size of three cards. If a player can't play, they can discard one card, then draw another. The first player to empty their hand and draw pile wins.&#10;&#10;The rulebook includes variants for three- and four-player games.&#10;&#10;Blink: Bible Edition is the same game with Christian faith icons.&#10;&#10;"
