name,category,min_players,max_players,description
Coloretto,Animals,2,5,"Game play in Coloretto is simple: Either draw a card to play to a row, or take a row of cards to add them to your collection. A row can have at most three cards, so at some point everyone is forced to take a row. Once all the rows have been claimed, players start a new round, drawing or taking once again.&#10;&#10;What are you trying to do with these cards? Collect huge sets - but only in three colors as every color beyond the third will cost you points. Jokers are highly-prized as they always match what you want, and +2 cards provide sure points, giving you a back-up plan if everything goes south in terms of the colors you're collecting.&#10;&#10;Once only a few cards remain in the deck, the round ends and everyone tallies their score, choosing three colors of cards to score positively while any other colors count against you. Each color is scored using a triangular number system: the first card in a color is &plusmn;1 point, the second card is &plusmn;2 points, and so on. The player with the high score wins!&#10;&#10;A two-player variant is included with some versions of Coloretto, with the only change being that rows can have only 1-3 cards placed in them, depending on the icons on the row cards.&#10;&#10;"
To Court the King,Dice,2,5,"In this game, the players are petitioners at the royal court, trying to gain the King's favor. To do so, they must first gain the help of the servants and petty officials at the court, who can then help them gain access to the nobility, who, in turn, can help to reach the king.&#10;&#10;The game is played in turns. On their turn, a player will gather his dice, roll them, set aside at least one, and roll the remaining dice again, until all dice have been set aside. After that, he gets to select a character who will help him. Each character requires a certain combination of dice (such as two pairs or dice that show at least 30 points). The character will give the player some benefits on later rolls, such as an additional die or the ability to modify the results of a roll.&#10;&#10;The game ends when a player gains the support of the Queen (and temporary favor of the King, winning ties in the final roll-off). Now, all players try to gain a dice result of as many equal dice as possible (7x 2s, 8x 6s, etc). The player who gets the longest, highest result gains the favor of the King and wins.&#10;&#10;Contents: 12 Dice, 60 character cards, 5 player aids, 1 marker, rules.&#10;&#10;Online Play&#10;&#10;&#10;     BrettspielWelt (real-time)&#10;     Yucata (turn-based)&#10;&#10;&#10;"
Giants,Ancient,3,5,"In this game, players incarnate clan leaders during the Golden Age of Easter Island. The board represents a simplified map of the island. Rock platforms (ahus) are where the Moa&iuml;s (monumental sculptures) will be erected.&#10;&#10;Your clan competes against others, and you will earn more prestige by building and transporting larger, more imposing Moa&iuml;s than your opponents' clans.&#10;&#10;Each of your pawns represents a group of men. You can grow your population if you wish. You will choose each turn which part of your population will sculpt Moa&iuml;s and which other part will transport them, in cooperation with other players.&#10;&#10;Statues are transported from the quarry to the ahus (the rock platforms) using paths made of pawns and the help of logs.&#10;&#10;You can use your influence (Tribal Markers) to choose the best statues and mark to your color the statues you cannot achieve in your turn. You can also rely on your Sorcerer and his mighty powers, of the strength of your Chief, as well as on mystic powers of the Rongo writing tablets.&#10;&#10;The winner will be the one who has erected the largest statues in the best places at the end of the game.&#10;&#10;Note that there is a Official Rule Change for this game : For the final scoring, complete Rongo tablets are no longer scored and do not earn any points to the players.&#10;&#10;"
You're Bluffing!,Animals,3,5,"Classic bidding and bluffing game. The deck consists of sets of farm animals, 4 cards per animal. Players auction off the top animal of the deck, or try to complete their set by trading with another player. Highest bid wins, but auctioneer always has the choice to buy the animal for the same price as the highest bid.&#10;Trading is a blind bidding system: both players place their bid face down on the table and reveal them simultaneously to each other. High bidder gets the other player's animal. Both players swap their bid. It's best to bid just a little bit more than your opponent, but just how much did he bid?&#10;&#10;reimplemented by:&#10;&#10;Kuhhandel Master (2009)&#10;&#10;"
Medieval Merchant,Economic,2,6,"Players secure valued markets via affordable trade routes between medieval cities while simultaneously forcing opponents into less affordable and less valued markets.  The cities themselves have a variable number of spaces for players to develop business branches within, or alternatively establish new trade routes into wider reaching cities and towns.  Players may generate income and risk losing dominance over a city, or add branches within a city that lower the value of your product but can award you with a stronger market influence.  At the end of the game, the player with the most influence wins.&#10;&#10;"
King Arthur: The Card Game,Card Game,2,5,"Who will become the King's First Knight?&#10;&#10;Welcome to the world of King Arthur! As in the large board game, players in this legendary card game meet up with dangerous creatures and dark powers. As knights, they try to defeat their enemies, take part in jousts, and find the holy grail. Aside from power and prestige, they want one thing above all else: a seat at the right hand of King Arthur.&#10;&#10;"
Top Speed,Card Game,2,2,"Top Speed has two players racing to place their cards on eight rows. Cards have two attributes - color and icon. On each row, there can be only one card with each color and each icon. Once one of the players empties their hand, the game ends. Rows are scored (they are worth one to five points) so that the player who played the last card wins the row. If there's a mistake, the first player to make a mistake loses the row. The game is over in just few minutes.&#10;&#10;"
Ivanhoe,Card Game,2,5,"Take on the role of a knight and join the prestigious tournaments at the king's court. Use your cards to win the jousting competitions, and to fight with your sword, axe or morning-star. Rally your squires, gain the support of a maiden, and play action cards against your opponents.&#10;&#10;Clever use of action cards can change the type of tournament that is in progress. One card will 'unhorse' you, forcing everyone still in the jousting competition to switch to a weapon battle of the action card holder&rsquo;s choice.&#10;&#10;Other actions cause you to drop whatever other weapon you are using and resort to hand-to-hand battles in which the player with the most cards- not the highest point total- will win a token. Depending on the number of players in the game, the first player to win four or five different tournaments becomes the overall victor.&#10;&#10;There is a lot more strategy involved in the game than first meets the eye.&#10;&#10;Re-implements:&#10;&#10;    Attacke&#10;&#10;&#10;&#10;&#10;"
Im Märchenwald,Children's Game,1,8,"Played in a Fairy Tale Forest composed of a grid of 7x7 cards, players must try to rescue a sick princess. Goblin, Witch and Crow cross the path and impede the search. Allows for solitaire play.&#10;&#10;"
Dragon's Gold,Card Game,3,6,"In Dragon's Gold, each player controls a team of dragon hunters (two knights, a thief, and a wizard). Like all dragon hunters, they have only one goal: gold, silver, jewels and magic objects. As for actually killing a dragon? It's a piece of cake. But the most difficult part comes after the dragon is dead: the adventuring party has to figure out how to share the spoils.&#10;&#10;As soon as a dragon is overpowered, then some additional gems are revealed, and the players who had participated in that hunting party start a negotiation over how to divvy up the gems. If the sixty-second sand timer runs out, then no one gets treasure. When all of the dragons have been slain and the treasure claimed or discarded, the game ends and players score for their holdings, with silver and magic objects worth 1 point each, gold worth 3, the Black Diamond worth 7, and the colored gems scoring 10-15 points for those players who hold more than everyone else. (In the Advanced game, the colored gems score 8-12 points in addition to a variety bonus of 5 points for each set of different colored gems a player holds. The Black Diamond is worth 19 points [in the 2011 edition], but negates a player's score for all colored gems.)&#10;&#10;"
Trendy,Card Game,2,5,"In Trendy, each player plays cards representing various fashion designers.&#10;&#10;Each turn, you lay a card face up to the table and draw a new card.  When as many cards for a designer have been laid face up as the number on that designer's cards, that designer has a &quot;breakthrough&quot; and players who played that number save those cards for scoring at the end of the hand.  (The deck is balanced: more 7-value cards than 6-value cards, etc.)   All other played cards are discarded.&#10;&#10;There are 2 special cards for each designer in the deck:&#10;-  A Super Model is worth 2 cards toward achieving a breakthrough.&#10;-  An Out card clears all of that designer's face up cards.&#10;&#10;The game is played over several hands until at least one player has scored more than 100.&#10;&#10;"
Balloon Cup,Aviation / Flight,2,2,"In Balloon Cup, the players compete in several short balloon flights (hops) to collect the colored cubes associated with each hop. Four landscape cards &ndash; two plains alternating with two mountains &ndash; are laid out, and 1, 2, 3, or 4 cubes in assorted colors (gray, blue, green, yellow, red) are added to these cards. From a hand of eight balloon cards, you must try to pass each landscape by adding cards matching the colored blocks onto their side of table, although winds (and cunning) may occasionally cause them to play on their opponent's side &ndash; a move that can really ruin the opponent's plans.&#10;&#10;High-valued balloons are played on the mountains, and low-valued balloons are played on the plains. Whoever is the better balloonist takes the cubes from the card, which is then flipped over &ndash; mountains becomes plains and vice-versa &ndash; and refilled with cubes. Five trophy cards of value 3 to 7 are placed at the top of the cards. When a player has collected enough cubes of a given color, he earns the trophy card for that color. Players may even trade three otherwise useless cubes for one they can use. The first player to earn three trophy cards is the winner!&#10;&#10;"
Guillotine,Card Game,2,5,"The French Revolution is famous in part for the use of the guillotine to put nobles to death, and this is the macabre subject of this light card game.  As executioners pandering to the masses, the players are trying to behead the least popular nobles.  Each day the nobles are lined up and players take turns killing the ones at the front of the line until all the nobles are gone.  However, players are given cards which will manipulate the line order right before 'harvesting,' which is what makes the game interesting.  After three days worth of chopping, the highest total carries the day.&#10;&#10;"
Escape: The Curse of the Temple,Adventure,1,5,"Escape: The Curse of the Temple is a cooperative game in which players must escape (yes...) from a temple (yes...) which is cursed (yes...) before the temple collapses and kills one or more explorers, thereby causing everyone to lose.&#10;&#10;The initial game board consists of a row of three square tiles, each showing a combination of two symbols, say, two green adventurers or one green adventurer and one blue key in one corner of the tile. All of the explorers start in the center tile &ndash; the safe room &ndash; and each player starts with a hand of five dice. Each die has five symbols:&#10;&#10;&#10;    A cursed mask &ndash; this die is set aside when rolled.&#10;    A golden mask &ndash; each such symbol counteracts two cursed masks, either your own or those of another explorer in the same room.&#10;    A red torch or blue key &ndash; these are used to enter rooms, access treasure, or activate gems.&#10;    A green adventurer, which appears twice on the die &ndash; you need these to move from room to room, and to activate some gems.&#10;&#10;&#10;Escape is played in real-time, with all players rolling dice and taking actions simultaneously. You must roll the right symbols to enter a room, and if you're at an open doorway, you can roll to reveal the next tile in the stack and add it to that doorway. Some rooms contain combinations of red and blue symbols, and if you (possibly working with other players in the same room) roll enough red or blue symbols, you &quot;discover&quot; magic gems, moving them from a separate gem depot onto that tile.&#10;&#10;The real-time aspect is enforced by a soundtrack to be played during the game. At certain points, a countdown starts, and if players aren't back in the safe room when time is up, they lose one of their dice.&#10;&#10;Once the exit tile is revealed, players can attempt to escape the temple by moving to that tile, then rolling a number of blue dice equal to the magic gems that haven't been removed from the gem depot. Thus, the more gems you find, the easier it is to escape the temple. When a player escapes, he gives one die to a player of his choice. If all players escape before the third countdown, everyone wins; if not, everyone loses, no matter how many players did escape.&#10;&#10;Escape: The Curse of the Temple includes two expansion modules that can be used individually or together. With the &quot;Treasures&quot; module, some rooms contain treasure, and when you reveal such a room, you place a face-down treasure chest on the tile. Roll the symbols on that chest tile, and you claim the treasure for use later: a key lets you teleport anywhere, a path lets you connect two rooms that otherwise have no door between them, and a medic kit heals all players instantly (putting black dice back into play). With the &quot;Curses&quot; module, some tiles &quot;curse&quot; players by forcing them to place one hand on their head, keep mute during play, or otherwise do what you wouldn't want to do while escaping a temple!&#10;&#10;"
Trampelfanten,Animals,2,5,"Trampelfanten, or Stampeding Elephants, is a dice rolling game where players are racing elephants.&#10;&#10;The game consists of 6 elephants, 6 corresponding cards, 2 dice with coloured sides, a game board and instructions.&#10;&#10;At the start of the game, players each take a coloured elephants and its card representation. Any elephants left over are the maharaja's elephants. The cards remind the players which elephants are the maharaja's or the players.&#10;&#10;To move the pieces, players roll the coloured dice and heed the following rules: different colours - move those two elephants, same colours - move the elephant back one square. The next player has the choice to keep one of the dice or re-roll both.&#10;&#10;Elephants work their way to the end of the board until one reaches the turn square. When this happens, all elephants turn around to race back to the start.&#10;&#10;The game ends when there is only one elephant left on the track. If that elephant belongs to a player, he/she is the winner. If it is the maharaja's, the first player who made it back to the start is the winner.&#10;&#10;This game is a re-theming of Das St&#195;&#182;rrische Muli&#10;&#10;"
Abenteuer im Wichtelwald,Mythology,2,4,"Despite its fairy tale theme, this is a fairly abstract game for 2-4 players Ages 8 and up. Each player tries to move their 6 gnomes from one side of the board to the other.&#10;&#10;For setup, the trees are placed on the game board, and the gnomes are placed on their starting spaces.&#10;&#10;On their turn, each player first moves a tree 1 space, then moves a gnome. Gnomes move in a straight line (orthogonally or diagonally) across empty spaces until they encounter an obstacle - a tree or a gnome. The gnome then does a 90 degree turn and keeps moving. If the gnome reaches its target space, and there is another gnome on it, the active player moves that gnome to another space on the board. The first player to move all their gnomes to their target space wins the game.&#10;&#10;&#10;"
Hart an der Grenze,Bluffing,3,6,"In Hart an der Grenze (Close to the Border), players are people trying to cross a border with luggage full of legal and also illegal goods.&#10;&#10;Each one declares what he is carrying, but of course he only declares what the law allows (even if it means telling a lie).&#10;&#10;Each turn one of the players takes the role of sheriff. The sheriff must choose who to spot check.&#10;In case the sheriff picks someone whose luggage does not have exactly what was declared, the person must open the luggage and show his goods. The not-declared goods are lost and a fine is paid.&#10;However, before opening the luggage, the person may always suggest that the sheriff take some of his dollars so as to be kind and let him pass. If they come to an agreement, good for them!&#10;During the whole game, players may also stock goods for the end, when the border is closed and the price is doubled. But only a limited amount of each good can be sold at this time. And the bigger traders in each kind of good will have the advantage of selling first.&#10;&#10;To sum up, Hart an der Grenze is a game with bluffing, negotiation, strategy and a lot of good laughs.&#10;&#10;Re-implemented by:&#10;&#10;    Robin Hood&#10;&#10;&#10;&#10;&#10;"
Die Macher,Economic,3,5,"Die Macher is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game.&#10;&#10;The 1986 edition featured 4 parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to 5 players in the re-united Germany and updated several features of the rules as well.  The 2006 edition also supports up to 5 players and adds a shorter 5 round variant and additional rules updates by the original designer.&#10;&#10;Die Macher is #1 in the Valley Games Classic Line&#10;&#10;"
Face-it,Abstract Strategy,2,4,"On a grid you place one of your 4 tiles on the board trying to make as large sets as possible.  There are four colours (faces) and a special white tile.  You get points for how large the group of like faces that border on each other are.  The points are taken from your neighbor.  The points are in the form of coins from 1 to 5 in worth forcing kids to actually do math (shudder).  The tiles is replaced after playing and if the white tile is drawn it allows the player to steal a tile from another player and the white tile is then replaced in the bag for others to possibly draw again in the future.&#10;&#10;For the younger kids it can teach color matching.  You can also play with the expressions on the tiles (Happy, sad, scared and mad), such as when you play a tile you have to make the expression.&#10;&#10;A simple game for ages 3 to 7 (although the box says 5 and up)&#10;&#10;"
Sudoku Challenge,Animals,1,4,"Sudoku Challenge :&#10;&#10;Take on your friends in this head-to-head version of a modern-day classic. Or, enjoy some addicting &quot;brain food&quot; as you sharpen your skills as a single player. Serious fun for one to four players.&#10;&#10;Also in the box comes the bonus game Zoodoku:&#10;&#10;Both kids and adults will be hooked on logic when they play Zoodoku. This game variation of Sudoku Challenge features colorful animals native to Japan in place of numbers.&#10;&#10;"
Shit!,Card Game,2,6,"It is a game where everyone simultaneously plays a unique number face down card a la Category 5 (6 Nimmt).&#10;&#10;There are 5 suits arranged in a circular pattern. The idea is you score the points based on the first person to hit their number traveling clockwise after the current number, e.g. if the colors are Green, Blue, Red, Yellow, Orange, Green, Blue, etc. and the current target card is Orange 6, then the first number after orange 6 wins a number of points equal to the interval. For example, orange 7 would win 1 point, but if it were not there and Green 1 were next closest, it would win 5 points. If the next closest card were orange 5 (unlikely but possible), it would score 49 points.&#10;&#10;Each player also always has in hand a Shit! card which cannot score, but playing it is the only way to get another card in hand. Strategy comes from watching when people play cards and how many they have left. Time it right and you can play while everyone else is drawing for monster points.&#10;&#10;It's a fun 20 minutes. The rules are in English.&#10;&#10;"
